regionname,countryname,project result,curr_project_cost,lendinginstr
Western and Central Africa,Republic of Niger,Success,64000000,Structural Adjustment Loan
Eastern and Southern Africa,Republic of Madagascar,Success,137000000,Specific Investment Loan
Western and Central Africa,Republic of Chad,Success,56390000,Specific Investment Loan
Africa,Africa,Success,281700000,Specific Investment Loan
Western and Central Africa,Republic of Cote d'Ivoire,Fail,80000000,Adaptable Program Loan
Western and Central Africa,Republic of Cote d'Ivoire,Success,5600000,Learning and Innovation Loan
Western and Central Africa,Islamic Republic of Mauritania,Success,5000000,Learning and Innovation Loan
Middle East and North Africa,Arab Republic of Egypt,Success,48700000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,Republic of Kenya,Fail,40000000,Specific Investment Loan
Western and Central Africa,Western and Central Africa,Success,19260000,Technical Assistance Loan
Western and Central Africa,Republic of Cameroon,Success,85600000,Specific Investment Loan
Western and Central Africa,Republic of Cameroon,Success,180000000,Structural Adjustment Loan
Middle East and North Africa,People's Democratic Republic of Algeria,Success,18200000,Specific Investment Loan
Middle East and North Africa,Republic of Yemen,Success,1580000,Specific Investment Loan
Middle East and North Africa,West Bank and Gaza,Success,14000000,Specific Investment Loan
Middle East and North Africa,West Bank and Gaza,Success,25000000,Specific Investment Loan
Middle East and North Africa,West Bank and Gaza,Success,8850000,Specific Investment Loan
Middle East and North Africa,Hashemite Kingdom of Jordan,Success,10000000,Technical Assistance Loan
Middle East and North Africa,Arab Republic of Egypt,Success,600000000,Specific Investment Loan
Western and Central Africa,Republic of Cote d'Ivoire,Success,50000000,Debt and Debt Service Reduction Loan
Middle East and North Africa,Republic of Tunisia,Success,376600000,Sector Adjustment Loan
Eastern and Southern Africa,Kingdom of Lesotho,Success,20400000,Adaptable Program Loan
Eastern and Southern Africa,Union of the Comoros,Success,10000000,Specific Investment Loan
Middle East and North Africa,Arab Republic of Egypt,Success,65000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,45000000,Specific Investment Loan
Eastern and Southern Africa,United Republic of Tanzania,Success,3900000,Structural Adjustment Loan
Eastern and Southern Africa,Republic of Uganda,Success,290000,Technical Assistance Loan
Western and Central Africa,Burkina Faso,Success,20000000,
Western and Central Africa,Republic of Mali,Success,9080000,Specific Investment Loan
Western and Central Africa,Burkina Faso,Success,13460000,Adaptable Program Loan
Eastern and Southern Africa,Republic of South Africa,Success,7930000,Specific Investment Loan
Eastern and Southern Africa,Kingdom of Lesotho,Success,8420000,Specific Investment Loan
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,2600000,Learning and Innovation Loan
Africa,Africa,Success,14100000,Learning and Innovation Loan
Middle East and North Africa,Hashemite Kingdom of Jordan,Success,6000000,Specific Investment Loan
Western and Central Africa,Republic of Togo,Success,3000000,Learning and Innovation Loan
Middle East and North Africa,Kingdom of Morocco,Success,16000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Mozambique,Success,115000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Madagascar,Success,66000000,Adaptable Program Loan
Western and Central Africa,Republic of Chad,Success,40000000,Structural Adjustment Loan
Eastern and Southern Africa,Republic of Madagascar,Success,20400000,Adaptable Program Loan
Eastern and Southern Africa,Republic of Rwanda,Success,5200000,Learning and Innovation Loan
Eastern and Southern Africa,Republic of Madagascar,Success,106090000,Specific Investment Loan
Middle East and North Africa,Hashemite Kingdom of Jordan,Fail,100000000,
Middle East and North Africa,Republic of Yemen,Success,6800000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,Republic of Madagascar,Success,44380000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,8000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,56700000,Specific Investment Loan
Western and Central Africa,Republic of Cote d'Ivoire,Success,20000000,
Middle East and North Africa,West Bank and Gaza,Success,62900000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,100000000,Sector Adjustment Loan
Western and Central Africa,Republic of Senegal,Fail,18000000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,20600000,Technical Assistance Loan
Western and Central Africa,Republic of Chad,Fail,5000000,Learning and Innovation Loan
Western and Central Africa,Republic of Cameroon,Success,70000000,Specific Investment Loan
Western and Central Africa,Republic of Cabo Verde,Success,30000000,Sector Adjustment Loan
Middle East and North Africa,Republic of Tunisia,Success,206730000,Adaptable Program Loan
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,28200000,Technical Assistance Loan
Western and Central Africa,Burkina Faso,Success,5200000,Technical Assistance Loan
Western and Central Africa,Republic of Guinea,Success,22000000,Adaptable Program Loan
Western and Central Africa,Republic of Guinea,Success,16000000,Learning and Innovation Loan
Middle East and North Africa,Republic of Yemen,Success,30000000,Specific Investment Loan
Western and Central Africa,Republic of Ghana,Fail,20000000,Specific Investment Loan
Western and Central Africa,Republic of Ghana,Success,22300000,Adaptable Program Loan
Western and Central Africa,Republic of Ghana,Success,1191000000,Specific Investment Loan
Western and Central Africa,Republic of Ghana,Success,88000000,Specific Investment Loan
Western and Central Africa,Republic of Ghana,Success,110000000,Structural Adjustment Loan
Western and Central Africa,Republic of Ghana,Success,28000000,Adaptable Program Loan
Western and Central Africa,Republic of Ghana,Success,173000000,Adaptable Program Loan
Eastern and Southern Africa,Republic of South Africa,Fail,200000000,Sector Adjustment Loan
Middle East and North Africa,Arab Republic of Egypt,Success,327570000,Specific Investment Loan
Eastern and Southern Africa,Republic of Madagascar,Success,600000,Structural Adjustment Loan
Middle East and North Africa,Lebanese Republic,Success,100000000,Specific Investment Loan
Middle East and North Africa,Republic of Yemen,Fail,25000000,Specific Investment Loan
Middle East and North Africa,Republic of Yemen,Success,60000000,Specific Investment Loan
Middle East and North Africa,Lebanese Republic,Success,61890000,Specific Investment Loan
Middle East and North Africa,Arab Republic of Egypt,Success,250000000,Specific Investment Loan
Middle East and North Africa,Republic of Yemen,Success,45340000,Specific Investment Loan
Eastern and Southern Africa,United Republic of Tanzania,Success,2000000,Learning and Innovation Loan
Eastern and Southern Africa,Republic of Uganda,Success,86570000,Specific Investment Loan
Eastern and Southern Africa,Republic of Uganda,Success,95300000,Specific Investment Loan
Eastern and Southern Africa,Republic of Uganda,Success,150000000,Poverty Reduction Support Credit
Middle East and North Africa,Republic of Tunisia,Success,69300000,Specific Investment Loan
Eastern and Southern Africa,Republic of Zambia,Success,28000000,Adaptable Program Loan
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,110160000,Specific Investment Loan
Eastern and Southern Africa,State of Eritrea,Fail,120000000,Adaptable Program Loan
Eastern and Southern Africa,State of Eritrea,Fail,29200000,Financial Intermediary Loan
Eastern and Southern Africa,State of Eritrea,Success,50000000,Specific Investment Loan
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,8000000,Learning and Innovation Loan
Eastern and Southern Africa,Republic of Zimbabwe,Fail,140000000,Structural Adjustment Loan
Eastern and Southern Africa,Republic of Malawi,Success,55100000,Structural Adjustment Loan
Eastern and Southern Africa,Republic of Angola,Fail,40000000,Specific Investment Loan
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,26500000,Specific Investment Loan
Western and Central Africa,Republic of Guinea,Success,420140000,Adaptable Program Loan
Middle East and North Africa,Lebanese Republic,Fail,115000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Mozambique,Success,120000000,Structural Adjustment Loan
Eastern and Southern Africa,Republic of Mozambique,Success,26000000,Specific Investment Loan
Eastern and Southern Africa,United Republic of Tanzania,Success,80000000,Specific Investment Loan
Eastern and Southern Africa,United Republic of Tanzania,Fail,25000000,Technical Assistance Loan
Middle East and North Africa,Republic of Yemen,Success,16000000,Specific Investment Loan
Western and Central Africa,Republic of Guinea,Success,24000000,Adaptable Program Loan
Middle East and North Africa,West Bank and Gaza,Success,9000000,Specific Investment Loan
Middle East and North Africa,Lebanese Republic,Success,100000000,
Middle East and North Africa,Hashemite Kingdom of Jordan,Success,3800000,Specific Investment Loan
Middle East and North Africa,Arab Republic of Egypt,Success,12500000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,26700000,Specific Investment Loan
Western and Central Africa,Republic of Guinea,Success,83000000,Structural Adjustment Loan
Eastern and Southern Africa,Republic of Kenya,Success,16810000,Specific Investment Loan
Eastern and Southern Africa,Republic of Malawi,Success,70000000,Specific Investment Loan
Middle East and North Africa,Hashemite Kingdom of Jordan,Success,140000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Uganda,Success,33000000,Technical Assistance Loan
Western and Central Africa,Republic of Guinea-Bissau,Success,7290000,Specific Investment Loan
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,199120000,Specific Investment Loan
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Fail,15000000,Technical Assistance Loan
Middle East and North Africa,West Bank and Gaza,Fail,7000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,1800000,Sector Adjustment Loan
Western and Central Africa,Islamic Republic of Mauritania,Success,600000,Sector Adjustment Loan
Eastern and Southern Africa,Republic of Zambia,Success,7800000,Structural Adjustment Loan
Western and Central Africa,Republic of Sierra Leone,Success,150000,Structural Adjustment Loan
Eastern and Southern Africa,Republic of Malawi,Success,3400000,Structural Adjustment Loan
Eastern and Southern Africa,Republic of Kenya,Success,26600000,Structural Adjustment Loan
Western and Central Africa,Republic of Ghana,Success,3500000,Sector Adjustment Loan
Western and Central Africa,Republic of Cote d'Ivoire,Success,54600000,Sector Adjustment Loan
Western and Central Africa,Republic of Cameroon,Success,25200000,Structural Adjustment Loan
Middle East and North Africa,Arab Republic of Egypt,Success,91200000,Specific Investment Loan
Middle East and North Africa,Hashemite Kingdom of Jordan,Fail,50000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Burundi,Fail,28900000,Sector Investment and Maintenance Loan
Middle East and North Africa,Republic of Tunisia,Success,23790000,Specific Investment Loan
Eastern and Southern Africa,Republic of Madagascar,Success,45800000,Specific Investment Loan
Eastern and Southern Africa,Republic of South Africa,Success,46000000,Specific Investment Loan
Western and Central Africa,Republic of Chad,Success,10900000,Specific Investment Loan
Western and Central Africa,Republic of Cameroon,Fail,20000000,Specific Investment Loan
Middle East and North Africa,Republic of Yemen,Success,35000000,Emergency Recovery Loan
Middle East and North Africa,Hashemite Kingdom of Jordan,Success,136000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,94000000,Emergency Recovery Loan
Middle East and North Africa,Republic of Tunisia,Success,9880000,Specific Investment Loan
Middle East and North Africa,Kingdom of Morocco,Success,13300000,Specific Investment Loan
Middle East and North Africa,Kingdom of Morocco,Fail,3000000,Financial Intermediary Loan
Middle East and North Africa,People's Democratic Republic of Algeria,Fail,10000000,Financial Intermediary Loan
Western and Central Africa,Republic of Cameroon,Success,11000000,Specific Investment Loan
Western and Central Africa,Republic of Chad,Success,23700000,Specific Investment Loan
Western and Central Africa,Republic of Cameroon,Fail,5000000,Structural Adjustment Loan
Western and Central Africa,Republic of Cameroon,Fail,5000000,Specific Investment Loan
Eastern and Southern Africa,United Republic of Tanzania,Success,27650000,Specific Investment Loan
Eastern and Southern Africa,United Republic of Tanzania,Success,40000000,Specific Investment Loan
Middle East and North Africa,Kingdom of Morocco,Success,235000000,Sector Adjustment Loan
Western and Central Africa,Republic of Sierra Leone,Fail,5000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,926000000,Adaptable Program Loan
Western and Central Africa,Republic of Equatorial Guinea,Fail,1000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Fail,5000000,Learning and Innovation Loan
Eastern and Southern Africa,Union of the Comoros,Success,13400000,Specific Investment Loan
Middle East and North Africa,West Bank and Gaza,Success,5500000,Specific Investment Loan
Middle East and North Africa,West Bank and Gaza,Success,30000000,Specific Investment Loan
Middle East and North Africa,West Bank and Gaza,Success,10000000,Specific Investment Loan
Middle East and North Africa,West Bank and Gaza,Success,16300000,Specific Investment Loan
Middle East and North Africa,West Bank and Gaza,Success,23000000,Financial Intermediary Loan
Eastern and Southern Africa,United Republic of Tanzania,Success,19600000,Specific Investment Loan
Eastern and Southern Africa,Republic of Kenya,Success,19600000,Specific Investment Loan
Eastern and Southern Africa,Republic of Uganda,Success,19600000,Specific Investment Loan
Eastern and Southern Africa,Republic of Kenya,Success,26900000,Specific Investment Loan
Eastern and Southern Africa,United Republic of Tanzania,Success,22600000,Specific Investment Loan
Eastern and Southern Africa,Republic of Uganda,Success,28100000,Specific Investment Loan
Middle East and North Africa,Republic of Tunisia,Success,220000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,19300000,Specific Investment Loan
Western and Central Africa,Republic of Mali,Success,199600000,Specific Investment Loan
Western and Central Africa,Islamic Republic of Mauritania,Success,119300000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,126600000,Specific Investment Loan
Eastern and Southern Africa,Republic of Malawi,Success,4400000,Structural Adjustment Loan
Eastern and Southern Africa,Republic of Kenya,Success,36800000,Structural Adjustment Loan
Western and Central Africa,Republic of Cameroon,Success,30300000,Sector Adjustment Loan
Eastern and Southern Africa,Republic of Malawi,Fail,30000000,Specific Investment Loan
Middle East and North Africa,Hashemite Kingdom of Jordan,Success,120000000,Sector Adjustment Loan
Eastern and Southern Africa,Republic of Angola,Success,5000000,Learning and Innovation Loan
Middle East and North Africa,Kingdom of Morocco,Success,1600000000,
Western and Central Africa,Republic of Ghana,Success,20900000,Technical Assistance Loan
Middle East and North Africa,West Bank and Gaza,Success,23400000,Specific Investment Loan
Middle East and North Africa,Arab Republic of Egypt,Success,278400000,Specific Investment Loan
Western and Central Africa,Republic of Guinea,Fail,10000000,Specific Investment Loan
Western and Central Africa,Republic of Cameroon,Success,46000000,Specific Investment Loan
Eastern and Southern Africa,Kingdom of Eswatini,Fail,5000000,Specific Investment Loan
Western and Central Africa,Republic of Ghana,Success,10000000,Specific Investment Loan
Western and Central Africa,Republic of Congo,Fail,9000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,21420000,Specific Investment Loan
Western and Central Africa,Republic of Chad,Fail,10000000,Sector Investment and Maintenance Loan
Middle East and North Africa,Arab Republic of Egypt,Success,387000000,Sector Investment and Maintenance Loan
Middle East and North Africa,Lebanese Republic,Success,70930000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Fail,30000000,Specific Investment Loan
Middle East and North Africa,Lebanese Republic,Fail,65000000,
Western and Central Africa,Republic of Congo,Fail,10000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,37070000,Specific Investment Loan
Western and Central Africa,Central African Republic,Fail,20000000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,Republic of Zimbabwe,Success,60000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Malawi,Success,92000000,Structural Adjustment Loan
Eastern and Southern Africa,Republic of Zimbabwe,Success,19800000,Specific Investment Loan
Western and Central Africa,Central African Republic,Fail,5000000,Structural Adjustment Loan
Western and Central Africa,Republic of Chad,Success,20000000,Structural Adjustment Loan
Western and Central Africa,Republic of Chad,Success,30000000,Structural Adjustment Loan
Western and Central Africa,Republic of Cote d'Ivoire,Success,11000000,Specific Investment Loan
Eastern and Southern Africa,Union of the Comoros,Success,13700000,Specific Investment Loan
Western and Central Africa,Republic of Congo,Fail,8000000,Sector Investment and Maintenance Loan
Western and Central Africa,Islamic Republic of Mauritania,Success,46030000,Adaptable Program Loan
Eastern and Southern Africa,Republic of Uganda,Success,107920000,Specific Investment Loan
Eastern and Southern Africa,Republic of Uganda,Success,42310000,Technical Assistance Loan
Eastern and Southern Africa,State of Eritrea,Fail,40000000,Specific Investment Loan
Eastern and Southern Africa,State of Eritrea,Success,292700000,Emergency Recovery Loan
Eastern and Southern Africa,State of Eritrea,Success,7200000,Specific Investment Loan
Eastern and Southern Africa,State of Eritrea,Fail,20000000,Specific Investment Loan
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,219270000,Adaptable Program Loan
Middle East and North Africa,Republic of Djibouti,Success,11000000,Adaptable Program Loan
Middle East and North Africa,Republic of Djibouti,Success,16400000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,10700000,Technical Assistance Loan
Eastern and Southern Africa,Republic of Zambia,Success,45000000,Specific Investment Loan
Western and Central Africa,Republic of Chad,Success,85000000,Specific Investment Loan
Western and Central Africa,Republic of Ghana,Success,4800000,Structural Adjustment Loan
Western and Central Africa,Republic of Cote d'Ivoire,Success,73600000,Sector Adjustment Loan
Eastern and Southern Africa,Republic of Zambia,Success,12100000,Sector Adjustment Loan
Western and Central Africa,Republic of Sierra Leone,Success,300000,Structural Adjustment Loan
Western and Central Africa,Republic of Senegal,Success,2800000,Sector Adjustment Loan
Western and Central Africa,Islamic Republic of Mauritania,Success,800000,Sector Adjustment Loan
Eastern and Southern Africa,Republic of Uganda,Success,5500000,Technical Assistance Loan
Middle East and North Africa,Republic of Djibouti,Success,7300000,Technical Assistance Loan
Middle East and North Africa,Hashemite Kingdom of Jordan,Success,120000000,Sector Adjustment Loan
Western and Central Africa,Republic of Cote d'Ivoire,Success,12000000,Technical Assistance Loan
Middle East and North Africa,Kingdom of Morocco,Success,614000000,Specific Investment Loan
Middle East and North Africa,People's Democratic Republic of Algeria,Success,123600000,Specific Investment Loan
Middle East and North Africa,Kingdom of Morocco,Fail,20000000,Specific Investment Loan
Middle East and North Africa,Republic of Tunisia,Success,80200000,Adaptable Program Loan
Middle East and North Africa,Kingdom of Morocco,Success,80000000,Specific Investment Loan
Middle East and North Africa,Republic of Yemen,Success,11100000,Specific Investment Loan
Eastern and Southern Africa,Republic of Namibia,Fail,10000000,Specific Investment Loan
Middle East and North Africa,West Bank and Gaza,Fail,11340000,Specific Investment Loan
Middle East and North Africa,West Bank and Gaza,Success,45000000,Specific Investment Loan
Middle East and North Africa,West Bank and Gaza,Success,25000000,Specific Investment Loan
Middle East and North Africa,Lebanese Republic,Success,69200000,Specific Investment Loan
Middle East and North Africa,Republic of Yemen,Success,62600000,Specific Investment Loan
Middle East and North Africa,Republic of Yemen,Success,29600000,Specific Investment Loan
Eastern and Southern Africa,State of Eritrea,Success,21000000,Specific Investment Loan
Middle East and North Africa,Republic of Yemen,Success,28000000,Specific Investment Loan
Middle East and North Africa,Arab Republic of Egypt,Success,775000000,Specific Investment Loan
Middle East and North Africa,Republic of Yemen,Success,80000000,Structural Adjustment Loan
Middle East and North Africa,People's Democratic Republic of Algeria,Success,218300000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Fail,15000000,Specific Investment Loan
Western and Central Africa,Republic of Ghana,Success,30000000,Technical Assistance Loan
Middle East and North Africa,People's Democratic Republic of Algeria,Fail,110000000,Specific Investment Loan
Middle East and North Africa,Kingdom of Morocco,Success,118800000,Specific Investment Loan
Middle East and North Africa,Kingdom of Morocco,Success,49500000,Specific Investment Loan
Eastern and Southern Africa,Republic of Malawi,Success,22500000,Specific Investment Loan
Middle East and North Africa,Republic of Tunisia,Success,75000000,Structural Adjustment Loan
Western and Central Africa,Republic of Senegal,Success,4700000,Specific Investment Loan
Western and Central Africa,Republic of Guinea,Success,12000000,Learning and Innovation Loan
Western and Central Africa,Republic of Cabo Verde,Success,5500000,Specific Investment Loan
Eastern and Southern Africa,Republic of Mozambique,Success,100000000,Specific Investment Loan
Western and Central Africa,Republic of Mali,Success,139270000,Adaptable Program Loan
Western and Central Africa,Republic of Cote d'Ivoire,Fail,30000000,Specific Investment Loan
Western and Central Africa,Republic of Guinea,Success,44000000,Adaptable Program Loan
Western and Central Africa,Republic of Senegal,Success,17000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,46520000,Adaptable Program Loan
Western and Central Africa,Republic of Cameroon,Success,16700000,Technical Assistance Loan
Western and Central Africa,Gabonese Republic,Success,10000000,Technical Assistance Loan
Western and Central Africa,Republic of Senegal,Success,248430000,Specific Investment Loan
Western and Central Africa,Republic of Mali,Fail,30000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Fail,30000000,Structural Adjustment Loan
Middle East and North Africa,Arab Republic of Egypt,Success,253000000,Sector Investment and Maintenance Loan
Middle East and North Africa,Kingdom of Morocco,Success,567800000,Specific Investment Loan
Western and Central Africa,Republic of Congo,Fail,10000000,Specific Investment Loan
Middle East and North Africa,Kingdom of Morocco,Success,333800000,Emergency Recovery Loan
Middle East and North Africa,Republic of Yemen,Success,80000000,Structural Adjustment Loan
Western and Central Africa,Republic of Togo,Success,20000000,Specific Investment Loan
Western and Central Africa,Republic of Togo,Fail,109600000,Specific Investment Loan
Middle East and North Africa,Republic of Yemen,Success,51800000,Specific Investment Loan
Middle East and North Africa,Republic of Yemen,Success,85000000,Sector Investment and Maintenance Loan
Western and Central Africa,Republic of Ghana,Success,60000000,Specific Investment Loan
Western and Central Africa,Republic of Cabo Verde,Success,50000000,Specific Investment Loan
Middle East and North Africa,People's Democratic Republic of Algeria,Fail,100000000,Specific Investment Loan
Middle East and North Africa,Kingdom of Morocco,Fail,40000000,Specific Investment Loan
Middle East and North Africa,Arab Republic of Egypt,Success,50000000,Specific Investment Loan
Western and Central Africa,Republic of Cote d'Ivoire,Fail,75000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Uganda,Success,100000,Specific Investment Loan
Eastern and Southern Africa,United Republic of Tanzania,Success,100000,Specific Investment Loan
Eastern and Southern Africa,Republic of Kenya,Success,100000,Specific Investment Loan
Eastern and Southern Africa,Republic of Uganda,Success,100000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,United Republic of Tanzania,Success,100000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,Republic of Kenya,Success,100000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,Republic of Uganda,Success,100000,Specific Investment Loan
Eastern and Southern Africa,United Republic of Tanzania,Success,100000,Specific Investment Loan
Eastern and Southern Africa,Republic of Kenya,Success,100000,Specific Investment Loan
Eastern and Southern Africa,Republic of Uganda,Success,100000,Specific Investment Loan
Eastern and Southern Africa,United Republic of Tanzania,Success,100000,Specific Investment Loan
Eastern and Southern Africa,Republic of Kenya,Success,100000,Specific Investment Loan
Eastern and Southern Africa,Republic of Uganda,Success,100000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,United Republic of Tanzania,Success,100000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,Republic of Kenya,Success,100000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,Republic of Kenya,Success,100000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,United Republic of Tanzania,Success,100000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,Republic of Uganda,Success,100000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,Republic of Uganda,Success,100000,Specific Investment Loan
Eastern and Southern Africa,United Republic of Tanzania,Success,100000,Specific Investment Loan
Eastern and Southern Africa,Republic of Kenya,Success,100000,Specific Investment Loan
Western and Central Africa,Republic of Cote d'Ivoire,Fail,315000000,Structural Adjustment Loan
Western and Central Africa,Republic of Ghana,Fail,55000000,Sector Adjustment Loan
Western and Central Africa,Republic of Ghana,Success,5500000,Learning and Innovation Loan
Western and Central Africa,Republic of Mali,Success,64000000,Specific Investment Loan
Western and Central Africa,Republic of Mali,Success,227000000,Specific Investment Loan
Western and Central Africa,Republic of Mali,Success,541200000,Adaptable Program Loan
Western and Central Africa,Republic of Sierra Leone,Success,41340000,Specific Investment Loan
Eastern and Southern Africa,Republic of Zambia,Success,23000000,Technical Assistance Loan
Eastern and Southern Africa,Republic of Zimbabwe,Fail,434500000,Specific Investment Loan
Eastern and Southern Africa,Republic of Zambia,Success,40000000,Structural Adjustment Loan
Eastern and Southern Africa,Republic of Madagascar,Success,20800000,Specific Investment Loan
Middle East and North Africa,Kingdom of Morocco,Success,57000000,Specific Investment Loan
Western and Central Africa,Republic of Ghana,Success,180000000,Sector Adjustment Loan
Eastern and Southern Africa,Republic of Uganda,Success,40000000,Specific Investment Loan
Middle East and North Africa,Arab Republic of Egypt,Success,48700000,Sector Investment and Maintenance Loan
Middle East and North Africa,West Bank and Gaza,Success,91000000,Specific Investment Loan
Middle East and North Africa,West Bank and Gaza,Success,28000000,Specific Investment Loan
Middle East and North Africa,West Bank and Gaza,Success,84500000,Specific Investment Loan
Middle East and North Africa,Republic of Tunisia,Success,62100000,Specific Investment Loan
Eastern and Southern Africa,Republic of Angola,Fail,104000000,Sector Investment and Maintenance Loan
Western and Central Africa,Republic of Cote d'Ivoire,Success,20000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Madagascar,Success,14900000,Specific Investment Loan
Western and Central Africa,Republic of Togo,Fail,20000000,Specific Investment Loan
Western and Central Africa,Republic of Ghana,Success,5000000,Sector Adjustment Loan
Western and Central Africa,Republic of Benin,Success,30400000,Specific Investment Loan
Eastern and Southern Africa,Republic of Uganda,Success,6000000,Structural Adjustment Loan
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,2000000,Structural Adjustment Loan
Western and Central Africa,Republic of Sierra Leone,Success,3000000,Structural Adjustment Loan
Western and Central Africa,Republic of Senegal,Success,3200000,Structural Adjustment Loan
Eastern and Southern Africa,Republic of Zambia,Success,13700000,Structural Adjustment Loan
Eastern and Southern Africa,Republic of Malawi,Success,4600000,Structural Adjustment Loan
Western and Central Africa,Republic of Cameroon,Success,32800000,Structural Adjustment Loan
Western and Central Africa,Republic of Cote d'Ivoire,Success,77900000,Structural Adjustment Loan
Western and Central Africa,Republic of Cameroon,Success,205500000,Sector Adjustment Loan
Middle East and North Africa,Hashemite Kingdom of Jordan,Success,49000000,Specific Investment Loan
Middle East and North Africa,Hashemite Kingdom of Jordan,Fail,51000000,Specific Investment Loan
Eastern and Southern Africa,State of Eritrea,Success,49700000,Specific Investment Loan
Eastern and Southern Africa,United Republic of Tanzania,Fail,27000000,Specific Investment Loan
Middle East and North Africa,Republic of Yemen,Success,14300000,Specific Investment Loan
Eastern and Southern Africa,Republic of Rwanda,Success,47400000,Emergency Recovery Loan
Eastern and Southern Africa,Republic of Zambia,Success,140000000,Structural Adjustment Loan
Eastern and Southern Africa,Republic of Mozambique,Success,37200000,Specific Investment Loan
Middle East and North Africa,Kingdom of Morocco,Success,95300000,Specific Investment Loan
Eastern and Southern Africa,Republic of Burundi,Success,14600000,Specific Investment Loan
Middle East and North Africa,People's Democratic Republic of Algeria,Success,83600000,Emergency Recovery Loan
Middle East and North Africa,Lebanese Republic,Success,68900000,Specific Investment Loan
Middle East and North Africa,Lebanese Republic,Success,67800000,Specific Investment Loan
Western and Central Africa,Islamic Republic of Mauritania,Success,7200000,Technical Assistance Loan
Eastern and Southern Africa,United Republic of Tanzania,Success,26300000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,10000000,Specific Investment Loan
Western and Central Africa,Republic of Mali,Success,10000000,Specific Investment Loan
Western and Central Africa,Republic of Chad,Success,12700000,Specific Investment Loan
Western and Central Africa,Burkina Faso,Success,10000000,Specific Investment Loan
Western and Central Africa,Republic of Chad,Success,9800000,Specific Investment Loan
Western and Central Africa,Republic of Cote d'Ivoire,Success,50000000,Adaptable Program Loan
Western and Central Africa,Republic of Cote d'Ivoire,Fail,9680000,Specific Investment Loan
Eastern and Southern Africa,Republic of Uganda,Success,19900000,Specific Investment Loan
Western and Central Africa,Republic of Cote d'Ivoire,Success,16400000,Specific Investment Loan
Western and Central Africa,Republic of Benin,Success,23300000,Specific Investment Loan
Eastern and Southern Africa,Republic of Malawi,Success,30000000,Structural Adjustment Loan
Western and Central Africa,Republic of Cote d'Ivoire,Success,40000000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,Republic of South Africa,Success,20000000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,Republic of South Africa,Success,11000000,Specific Investment Loan
